名称,種類,所在地,関連URL,写真,回収地区,回収日,回収品目,その他情報,コメント,経度,緯度
中央二・三丁目  11,総合,大和市中央2-14-37  中央5号公園前,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-F-3,139.4614411,35.4694046
中央二・三丁目  9,総合,大和市中央2-5-14  ライオンズスーテーションプラザ大和,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-H-5,139.4630682,35.4685306
中央二・三丁目  10,総合,大和市中央2-9-15,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-H-3,139.4627647,35.4692868
中央二・三丁目  2,総合,大和市中央3-1-27,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-D-8,139.4608946,35.4673751
中央二・三丁目  3,総合,大和市中央3-2-18  相模鉄道沿線,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,091-G-8,139.457851,35.4671394
中央二・三丁目  7,総合,大和市中央3-5-4  神奈川県学校給食会館,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-D-5,139.460367,35.4683387
中央二・三丁目  6,総合,大和市中央3-8  中央4号公園,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-C-4,139.4599033,35.4689289
中央二・三丁目  5,総合,大和市中央3-9  今井管工事 駐車場,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,091-H-3,139.4580975,35.4690773
中央林間新生  2,総合,大和市中央林間5-13  新生どんぐり公園,,,回収地区1,A資源-毎月1・3回目木<br>B資源-毎月2・4回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,015-F-9,139.4438764,35.5073698
中央林間新生  1,総合,大和市中央林間5-19-11,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,015-C-10,139.4419956,35.5065511
中央林間新生  3,総合,大和市中央林間5-5  中央林間2号公園,,,回収地区1,A資源-毎月1・3回目木<br>B資源-毎月2・4回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,009-A-8,139.4455366,35.5075954
中央林間西  7,総合,大和市中央林間西4-30-22  フォーヴル青木,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,018-D-8,139.4428583,35.5029678
中央林間西  8,総合,大和市中央林間西4-18-12,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,018-B-10,139.4417759,35.5020076
中央林間西  9,総合,大和市中央林間西5-20-17,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,027-H-1,139.4403452,35.5016585
中央林間西  4,総合,大和市中央林間3-10-15  静岡銀行駐車場,,,回収地区1,A資源-毎月1・3回目木<br>B資源-毎月2・4回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,019-B-5,139.4462129,35.5043148
中央林間西  5,総合,大和市中央林間3-13-4,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,018-H-5,139.4449642,35.5043514
中央林間西  6,総合,大和市中央林間3-14  市立中央林間公園入口,,,回収地区1,A資源-毎月1・3回目木<br>B資源-毎月2・4回目木<br>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,018-F-4,139.4438666,35.5048052
中央林間西  15,総合,大和市中央林間3-28-14向い  相模カンツリー倶楽部横,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,018-B-4,139.4415241,35.5048882
中央林間西  3,総合,大和市中央林間5-17  多胡記念公園,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,018-C-2,139.4423225,35.5057829
中央林間西  2,総合,大和市中央林間5-9-8,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,018-G-2,139.4442783,35.5060055
中央林間西  1,総合,大和市中央林間5-7-16  エクセル中央林間の向い側,,,回収地区1,A資源-毎月1・3回目木<BR>B資源-毎月2・4回目木<BR>容器包装プラ-毎週火,A資源、B資源、容器包装プラ,,009-A-10<BR>R5年3月末に廃止,139.4458054,35.5064376
中央林間東  6,総合,大和市中央林間2-16-28  （株）エス・ティ・エス隣,,,回収地区4,A資源-毎月2・4回目月<br>B資源-毎月1・3回目月<br>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,030-E-5,139.4523871,35.4999704
中央林間東  3,総合,大和市中央林間2-16-41  中央林間1号公園,,,回収地区4,A資源-毎月2・4回目月<BR>B資源-毎月1・3回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,030-B-6,139.4503868,35.499402
中央林間東  2,総合,大和市中央林間2-17-20  サンワイドコーポ向い側,,,回収地区4,A資源-毎月2・4回目月<br>B資源-毎月1・3回目月<br>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,030-A-9,139.4501411,35.4980784
中央林間東  1,総合,大和市中央林間2-21-30  レーベンハイム中央林間シェール,,,回収地区4,A資源-毎月2・4回目月<BR>B資源-毎月1・3回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,030-E-8,139.4519783,35.4986251
中央林間東  5,総合,大和市中央林間2-15-4  斎藤ハイツ隣、鉄塔,,,回収地区4,A資源-毎月2・4回目月<br>B資源-毎月1・3回目月<br>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,029-H-4,139.4495544,35.5003983
